tracked_at,grid_row,grid_col,occupied,occupancy_rate
2022-04-25 01:00:00,0,1,67,0.67
2022-04-25 01:00:00,0,2,87,0.87
2022-04-25 01:00:00,0,3,56,0.56
2022-04-25 01:00:00,0,4,48,0.48
2022-04-25 01:00:00,0,5,95,0.95
2022-04-25 01:00:00,0,6,105,1.05
2022-04-25 01:00:00,0,7,14,0.14
2022-04-25 01:00:00,1,1,29,0.29
2022-04-25 01:00:00,1,2,138,1.38
2022-04-25 01:00:00,1,3,160,1.6
2022-04-25 01:00:00,1,4,193,1.93
2022-04-25 01:00:00,1,5,99,0.99
2022-04-25 01:00:00,1,6,187,1.87
2022-04-25 01:00:00,1,7,103,1.03
2022-04-25 01:00:00,1,8,43,0.43
2022-04-25 01:00:00,2,0,25,0.25
2022-04-25 01:00:00,2,1,73,0.73
2022-04-25 01:00:00,2,2,286,2.86
2022-04-25 01:00:00,2,3,126,1.26
2022-04-25 01:00:00,2,4,109,1.09
2022-04-25 01:00:00,2,5,220,2.2
2022-04-25 01:00:00,2,6,189,1.89
2022-04-25 01:00:00,2,7,57,0.57
2022-04-25 01:00:00,2,8,1,0.01
2022-04-25 01:00:00,3,0,45,0.45
2022-04-25 01:00:00,3,1,62,0.62
2022-04-25 01:00:00,3,2,286,2.86
2022-04-25 01:00:00,3,3,141,1.41
2022-04-25 01:00:00,3,4,160,1.6
2022-04-25 01:00:00,3,5,118,1.18
2022-04-25 01:00:00,3,6,153,1.53
2022-04-25 01:00:00,3,7,1,0.01
2022-04-25 01:00:00,4,0,283,2.83
2022-04-25 01:00:00,4,1,240,2.4
2022-04-25 01:00:00,4,2,150,1.5
2022-04-25 01:00:00,4,3,159,1.59
2022-04-25 01:00:00,4,4,130,1.3
2022-04-25 01:00:00,4,5,105,1.05
2022-04-25 01:00:00,4,6,246,2.46
2022-04-25 01:00:00,4,7,126,1.26
2022-04-25 01:00:00,4,8,85,0.85
2022-04-25 01:00:00,4,9,19,0.19
2022-04-25 01:00:00,5,0,326,3.26
2022-04-25 01:00:00,5,1,344,3.44
2022-04-25 01:00:00,5,2,125,1.25
2022-04-25 01:00:00,5,3,144,1.44
2022-04-25 01:00:00,5,4,65,0.65
2022-04-25 01:00:00,5,5,52,0.52
2022-04-25 01:00:00,5,6,193,1.93
2022-04-25 01:00:00,5,7,95,0.95
2022-04-25 01:00:00,5,8,55,0.55
2022-04-25 01:00:00,5,9,45,0.45
2022-04-25 01:00:00,6,0,5,0.05
2022-04-25 01:00:00,6,1,125,1.25
2022-04-25 01:00:00,6,2,164,1.64
2022-04-25 01:00:00,6,3,92,0.92
2022-04-25 01:00:00,6,4,190,1.9
2022-04-25 01:00:00,6,5,69,0.69
2022-04-25 01:00:00,6,6,104,1.04
2022-04-25 01:00:00,6,7,120,1.2
2022-04-25 01:00:00,6,8,139,1.39
2022-04-25 01:00:00,6,9,28,0.28
2022-04-25 01:00:00,7,1,40,0.4
2022-04-25 01:00:00,7,2,120,1.2
2022-04-25 01:00:00,7,3,128,1.28
2022-04-25 01:00:00,7,4,74,0.74
2022-04-25 01:00:00,7,5,11,0.11
2022-04-25 01:00:00,7,6,12,0.12
2022-04-25 01:00:00,7,7,43,0.43
2022-04-25 01:00:00,7,8,32,0.32
2022-04-25 01:00:00,7,9,3,0.03
2022-04-25 01:00:00,8,1,3,0.03
2022-04-25 01:00:00,8,2,17,0.17
2022-04-25 01:00:00,8,3,6,0.06
2022-04-25 01:00:00,8,4,180,1.8
2022-04-25 01:00:00,8,5,56,0.56
2022-04-25 01:00:00,8,6,17,0.17
2022-04-25 01:00:00,8,7,16,0.16
2022-04-25 01:00:00,8,8,9,0.09
2022-04-25 01:00:00,8,9,2,0.02
2022-04-25 01:00:00,9,3,25,0.25
2022-04-25 01:00:00,9,4,28,0.28
2022-04-25 01:00:00,9,5,10,0.1
2022-04-25 01:00:00,9,6,8,0.08
2022-04-25 01:00:00,9,7,4,0.04
2022-04-25 01:00:00,9,8,1,0.01
2022-04-25 01:00:00,10,3,1,0.01
2022-04-25 01:15:00,0,1,77,0.77
2022-04-25 01:15:00,0,2,96,0.96
2022-04-25 01:15:00,0,3,67,0.67
2022-04-25 01:15:00,0,4,64,0.64
2022-04-25 01:15:00,0,5,97,0.97
2022-04-25 01:15:00,0,6,105,1.05
2022-04-25 01:15:00,0,7,15,0.15
2022-04-25 01:15:00,1,1,24,0.24
2022-04-25 01:15:00,1,2,144,1.44
2022-04-25 01:15:00,1,3,192,1.92
2022-04-25 01:15:00,1,4,230,2.3
2022-04-25 01:15:00,1,5,114,1.14
2022-04-25 01:15:00,1,6,210,2.1
2022-04-25 01:15:00,1,7,109,1.09
2022-04-25 01:15:00,1,8,56,0.56
2022-04-25 01:15:00,2,0,23,0.23
2022-04-25 01:15:00,2,1,75,0.75
2022-04-25 01:15:00,2,2,317,3.17
2022-04-25 01:15:00,2,3,141,1.41
2022-04-25 01:15:00,2,4,141,1.41
2022-04-25 01:15:00,2,5,239,2.39
2022-04-25 01:15:00,2,6,218,2.18
2022-04-25 01:15:00,2,7,59,0.59
2022-04-25 01:15:00,2,8,1,0.01
2022-04-25 01:15:00,3,0,50,0.5
2022-04-25 01:15:00,3,1,72,0.72
2022-04-25 01:15:00,3,2,321,3.21
2022-04-25 01:15:00,3,3,158,1.58
2022-04-25 01:15:00,3,4,168,1.68
2022-04-25 01:15:00,3,5,172,1.72
2022-04-25 01:15:00,3,6,153,1.53
2022-04-25 01:15:00,3,7,5,0.05
2022-04-25 01:15:00,4,0,329,3.29
2022-04-25 01:15:00,4,1,252,2.52
2022-04-25 01:15:00,4,2,182,1.82
2022-04-25 01:15:00,4,3,200,2.0
2022-04-25 01:15:00,4,4,148,1.48
2022-04-25 01:15:00,4,5,105,1.05
2022-04-25 01:15:00,4,6,294,2.94
2022-04-25 01:15:00,4,7,141,1.41
2022-04-25 01:15:00,4,8,88,0.88
2022-04-25 01:15:00,4,9,19,0.19
2022-04-25 01:15:00,5,0,330,3.3
2022-04-25 01:15:00,5,1,376,3.76
2022-04-25 01:15:00,5,2,144,1.44
2022-04-25 01:15:00,5,3,152,1.52
2022-04-25 01:15:00,5,4,74,0.74
2022-04-25 01:15:00,5,5,53,0.53
2022-04-25 01:15:00,5,6,225,2.25
2022-04-25 01:15:00,5,7,132,1.32
2022-04-25 01:15:00,5,8,59,0.59
2022-04-25 01:15:00,5,9,53,0.53
2022-04-25 01:15:00,6,0,7,0.07
2022-04-25 01:15:00,6,1,140,1.4
2022-04-25 01:15:00,6,2,204,2.04
2022-04-25 01:15:00,6,3,118,1.18
2022-04-25 01:15:00,6,4,231,2.31
2022-04-25 01:15:00,6,5,79,0.79
2022-04-25 01:15:00,6,6,123,1.23
2022-04-25 01:15:00,6,7,147,1.47
2022-04-25 01:15:00,6,8,156,1.56
2022-04-25 01:15:00,6,9,26,0.26
2022-04-25 01:15:00,7,1,50,0.5
2022-04-25 01:15:00,7,2,144,1.44
2022-04-25 01:15:00,7,3,138,1.38
2022-04-25 01:15:00,7,4,98,0.98
2022-04-25 01:15:00,7,5,24,0.24
2022-04-25 01:15:00,7,6,18,0.18
2022-04-25 01:15:00,7,7,47,0.47
2022-04-25 01:15:00,7,8,37,0.37
2022-04-25 01:15:00,7,9,9,0.09
2022-04-25 01:15:00,8,1,3,0.03
2022-04-25 01:15:00,8,2,13,0.13
2022-04-25 01:15:00,8,3,8,0.08
2022-04-25 01:15:00,8,4,214,2.14
2022-04-25 01:15:00,8,5,60,0.6
2022-04-25 01:15:00,8,6,17,0.17
2022-04-25 01:15:00,8,7,18,0.18
2022-04-25 01:15:00,8,8,10,0.1
2022-04-25 01:15:00,9,3,32,0.32
2022-04-25 01:15:00,9,4,30,0.3
2022-04-25 01:15:00,9,5,11,0.11
2022-04-25 01:15:00,9,6,9,0.09
2022-04-25 01:15:00,9,7,8,0.08
2022-04-25 01:15:00,9,8,2,0.02
2022-04-25 01:30:00,0,1,86,0.86
2022-04-25 01:30:00,0,2,93,0.93
2022-04-25 01:30:00,0,3,61,0.61
2022-04-25 01:30:00,0,4,51,0.51
2022-04-25 01:30:00,0,5,98,0.98
2022-04-25 01:30:00,0,6,110,1.1
2022-04-25 01:30:00,0,7,13,0.13
2022-04-25 01:30:00,1,1,26,0.26
2022-04-25 01:30:00,1,2,153,1.53
2022-04-25 01:30:00,1,3,188,1.88
2022-04-25 01:30:00,1,4,236,2.36
2022-04-25 01:30:00,1,5,125,1.25
2022-04-25 01:30:00,1,6,202,2.02
2022-04-25 01:30:00,1,7,115,1.15
2022-04-25 01:30:00,1,8,55,0.55
2022-04-25 01:30:00,2,0,23,0.23
2022-04-25 01:30:00,2,1,81,0.81
2022-04-25 01:30:00,2,2,329,3.29
2022-04-25 01:30:00,2,3,165,1.65
2022-04-25 01:30:00,2,4,158,1.58
2022-04-25 01:30:00,2,5,246,2.46
2022-04-25 01:30:00,2,6,229,2.29
2022-04-25 01:30:00,2,7,65,0.65
2022-04-25 01:30:00,3,0,55,0.55
2022-04-25 01:30:00,3,1,79,0.79
2022-04-25 01:30:00,3,2,334,3.34
2022-04-25 01:30:00,3,3,158,1.58
2022-04-25 01:30:00,3,4,197,1.97
2022-04-25 01:30:00,3,5,160,1.6
2022-04-25 01:30:00,3,6,157,1.57
2022-04-25 01:30:00,3,7,6,0.06
2022-04-25 01:30:00,4,0,314,3.14
2022-04-25 01:30:00,4,1,270,2.7
2022-04-25 01:30:00,4,2,181,1.81
2022-04-25 01:30:00,4,3,193,1.93
2022-04-25 01:30:00,4,4,150,1.5
2022-04-25 01:30:00,4,5,113,1.13
2022-04-25 01:30:00,4,6,286,2.86
2022-04-25 01:30:00,4,7,144,1.44
2022-04-25 01:30:00,4,8,91,0.91
2022-04-25 01:30:00,4,9,18,0.18
2022-04-25 01:30:00,5,0,338,3.38
2022-04-25 01:30:00,5,1,383,3.83
2022-04-25 01:30:00,5,2,143,1.43
2022-04-25 01:30:00,5,3,151,1.51
2022-04-25 01:30:00,5,4,73,0.73
2022-04-25 01:30:00,5,5,54,0.54
2022-04-25 01:30:00,5,6,214,2.14
2022-04-25 01:30:00,5,7,134,1.34
2022-04-25 01:30:00,5,8,56,0.56
2022-04-25 01:30:00,5,9,60,0.6
2022-04-25 01:30:00,6,0,7,0.07
2022-04-25 01:30:00,6,1,157,1.57
2022-04-25 01:30:00,6,2,196,1.96
2022-04-25 01:30:00,6,3,130,1.3
2022-04-25 01:30:00,6,4,224,2.24
2022-04-25 01:30:00,6,5,76,0.76
2022-04-25 01:30:00,6,6,128,1.28
2022-04-25 01:30:00,6,7,145,1.45
2022-04-25 01:30:00,6,8,154,1.54
2022-04-25 01:30:00,6,9,31,0.31
2022-04-25 01:30:00,7,1,36,0.36
2022-04-25 01:30:00,7,2,143,1.43
2022-04-25 01:30:00,7,3,129,1.29
